id;availableForScheduling;category;delivery_fee;delivery_time;distance;minimumOrderValue;price_range;rating
0;False;Marmita;3.99;27;1.22;10.0;CHEAPEST;0.0
1;False;Açaí;7.99;61;4.96;10.0;CHEAPEST;0.0
2;False;Bebidas;11.99;70;8.35;5.0;MODERATE;0.0
3;False;Carnes;16.49;63;6.35;20.0;CHEAPEST;0.0
4;False;Brasileira;11.99;58;5.22;20.0;CHEAPEST;0.0
5;False;Lanches;12.99;67;6.77;20.0;CHEAP;0.0
6;False;Brasileira;11.99;46;4.47;20.0;MOST_EXPENSIVE;0.0
7;False;Congelados;7.99;40;4.18;10.0;CHEAPEST;0.0
8;False;Lanches;13.49;41;5.5;20.0;MODERATE;0.0
9;False;Lanches;15.49;47;6.22;20.0;MODERATE;0.0
10;False;Lanches;10.49;55;4.23;20.0;CHEAPEST;0.0
11;False;Pastel;12.0;80;5.19;20.0;CHEAPEST;0.0
12;False;Indiana;13.49;57;5.74;20.0;MODERATE;0.0
13;False;Árabe;14.49;60;5.95;20.0;MODERATE;0.0
14;False;Brasileira;8.49;50;3.9;20.0;CHEAPEST;0.0
15;False;Bebidas;14.49;60;5.77;10.0;EXPENSIVE;0.0
16;False;Brasileira;15.49;68;6.53;20.0;CHEAPEST;0.0
17;False;Brasileira;13.49;59;5.72;10.0;CHEAPEST;0.0
18;False;Brasileira;15.49;41;6.03;20.0;EXPENSIVE;0.0
19;False;Lanches;6.99;30;2.02;20.0;MODERATE;0.0
20;False;Lanches;0.0;45;1.88;8.0;CHEAP;0.0
21;False;Doces & Bolos;12.49;29;5.06;10.0;CHEAPEST;0.0
22;False;Brasileira;11.99;18;5.43;20.0;MODERATE;0.0
23;False;Lanches;12.49;35;5.08;20.0;CHEAP;0.0
25;False;Brasileira;11.99;64;6.93;20.0;MODERATE;0.0
26;False;Brasileira;14.49;61;6.03;20.0;MODERATE;0.0
27;False;Salgados;12.49;60;5.19;20.0;CHEAPEST;0.0
28;False;Brasileira;8.99;38;4.14;20.0;CHEAPEST;0.0
30;False;Italiana;14.49;61;5.91;20.0;CHEAPEST;0.0
31;False;Pizza;13.49;67;5.77;20.0;CHEAPEST;0.0
32;False;Lanches;6.99;90;8.15;15.0;CHEAPEST;0.0
33;False;Lanches;13.49;59;5.7;20.0;CHEAPEST;0.0
